0	23	0
0	12	2
0	16	3
0	20	4
0	9	5
0	15	6
0	11	7
0	12	8
0	9	9
0	11	10
0	20	12
0	16	13
0	20	15
0	20	16
0	20	17
0	9	19
0	4	20
0	11	21
0	15	22
0	16	23
0	16	24
0	15	25
0	16	26
0	15	27
0	2	28
0	4	29
0	15	31
0	16	32
0	15	33
0	4	34
0	16	35
0	16	36
0	2	37
0	4	39
0	15	40
0	15	41
0	15	42
0	2	43
0	8	44
0	0	45
0	4	46
0	18	47
0	20	48
0	2	49
0	25	50
0	10	51
0	10	52
0	16	53
0	15	54
0	10	55
0	10	57
0	10	58
0	17	59
0	16	60
0	10	61
0	16	62
0	15	64
0	15	65
0	2	66
0	11	67
0	15	68
0	2	69
0	15	70
0	2	71
0	2	72
0	4	73
0	2	74
0	15	75
0	15	76
0	2	78
0	2	81
0	4	82
0	4	83
0	2	84
0	4	86
0	7	88
0	7	89
0	4	90
0	15	91
0	15	92
0	15	94
0	15	95
0	0	96
0	7	97
0	4	98
0	15	99
0	2	102
0	16	103
1	11	0
1	23	1
1	12	2
1	16	3
1	20	4
1	9	5
1	18	6
1	11	7
1	12	8
1	11	9
1	11	10
1	18	11
1	20	12
1	16	13
1	16	14
1	12	15
1	20	16
1	20	17
1	9	19
1	4	20
1	11	21
1	15	22
1	8	23
1	18	25
1	16	26
1	15	27
1	2	28
1	25	29
1	16	30
1	15	31
1	16	32
1	15	33
1	25	34
1	16	35
1	16	36
1	2	37
1	15	38
1	25	39
1	15	40
1	15	41
1	15	42
1	2	43
1	0	45
1	4	46
1	18	47
1	20	48
1	2	49
1	4	50
1	10	51
1	11	52
1	15	54
1	10	55
1	17	56
1	10	57
1	11	58
1	17	59
1	16	60
1	10	61
1	16	62
1	4	63
1	15	64
1	15	65
1	11	66
1	18	68
1	1	69
1	2	72
1	17	73
1	11	74
1	15	75
1	18	76
1	4	77
1	2	78
1	18	79
1	17	80
1	2	81
1	17	82
1	4	83
1	11	84
1	17	85
1	17	86
1	2	87
1	16	88
1	7	89
1	4	90
1	15	91
1	15	92
1	16	93
1	15	95
1	0	96
1	7	97
1	3	98
1	15	99
1	7	100
1	4	101
1	2	102
2	8	0
2	8	1
2	23	2
2	2	4
2	8	5
2	16	6
2	8	7
2	9	8
2	8	9
2	8	10
2	16	11
2	11	12
2	18	13
2	18	14
2	9	15
2	2	16
2	2	17
2	18	18
2	8	19
2	11	20
2	20	21
2	16	22
2	18	23
2	15	24
2	8	25
2	15	26
2	8	27
2	3	28
2	15	30
2	8	31
2	15	32
2	8	33
2	11	34
2	15	35
2	15	36
2	3	37
2	8	38
2	11	39
2	8	40
2	8	41
2	8	42
2	3	43
2	18	44
2	3	45
2	11	46
2	16	47
2	11	48
2	3	49
2	2	50
2	13	51
2	7	52
2	18	53
2	7	54
2	7	55
2	11	56
2	7	57
2	7	58
2	2	59
2	18	60
2	7	61
2	18	62
2	2	63
2	16	64
2	16	65
2	17	66
2	17	67
2	7	68
2	7	70
2	3	71
2	7	72
2	2	73
2	3	74
2	16	75
2	7	76
2	2	77
2	7	78
2	7	79
2	11	80
2	7	81
2	11	82
2	11	83
2	17	84
2	2	85
2	0	86
2	3	87
2	15	88
2	18	89
2	11	90
2	7	91
2	7	92
2	15	93
2	16	94
2	16	95
2	3	96
2	18	97
2	11	98
2	7	99
2	18	100
2	3	102
2	15	103
3	8	0
3	8	1
3	15	2
3	23	3
3	15	4
3	8	5
3	25	6
3	8	7
3	18	8
3	8	10
3	11	11
3	5	12
3	11	13
3	11	14
3	18	15
3	15	16
3	15	17
3	11	18
3	8	19
3	16	21
3	11	23
3	11	24
3	25	25
3	11	26
3	4	27
3	8	28
3	15	29
3	11	30
3	11	32
3	4	33
3	15	34
3	11	35
3	11	36
3	8	37
3	4	38
3	15	39
3	4	40
3	4	41
3	4	42
3	8	43
3	0	44
3	8	45
3	15	46
3	4	47
3	15	48
3	8	49
3	15	50
3	7	51
3	7	52
3	10	53
3	7	54
3	7	55
3	6	56
3	7	57
3	7	58
3	11	60
3	7	61
3	11	62
3	15	63
3	4	64
3	17	65
3	16	66
3	16	67
3	17	68
3	7	69
3	17	70
3	7	71
3	16	72
3	15	73
3	7	74
3	4	75
3	17	76
3	15	77
3	16	78
3	15	80
3	16	81
3	15	82
3	15	83
3	16	84
3	15	86
3	0	88
3	0	89
3	15	90
3	4	91
3	4	92
3	0	93
3	4	94
3	4	95
3	7	96
3	0	97
3	15	98
3	4	99
3	0	100
3	4	101
3	7	102
3	11	103
4	20	0
4	20	1
4	1	2
4	5	3
4	23	4
4	8	6
4	20	7
4	9	8
4	20	9
4	20	10
4	8	11
4	9	12
4	5	14
4	9	15
4	9	16
4	9	17
4	15	18
4	20	19
4	9	20
4	20	21
4	16	22
4	15	23
4	15	26
4	16	27
4	11	29
4	15	30
4	16	31
4	15	32
4	16	33
4	11	34
4	15	35
4	15	36
4	12	37
4	8	38
4	0	39
4	16	40
4	16	41
4	8	42
4	12	43
4	15	44
4	4	45
4	11	46
4	8	47
4	11	48
4	12	49
4	11	50
4	3	51
4	13	52
4	18	53
4	7	54
4	17	55
4	10	56
4	13	57
4	13	58
4	18	60
4	13	61
4	6	62
4	11	63
4	16	64
4	7	65
4	17	66
4	13	67
4	16	68
4	7	69
4	16	70
4	7	71
4	2	73
4	17	74
4	16	75
4	16	76
4	11	77
4	7	78
4	16	79
4	11	80
4	7	81
4	11	82
4	11	83
4	17	84
4	11	85
4	7	87
4	15	88
4	15	89
4	0	90
4	7	91
4	16	92
4	16	94
4	16	95
4	17	96
4	15	97
4	0	98
4	16	99
4	0	101
4	7	102
4	15	103
5	11	0
5	11	1
5	12	2
5	16	3
5	20	4
5	23	5
5	18	6
5	11	7
5	12	8
5	11	9
5	11	10
5	18	11
5	20	12
5	16	14
5	12	15
5	20	16
5	20	17
5	16	18
5	11	19
5	20	20
5	11	21
5	15	22
5	16	24
5	18	25
5	16	26
5	15	27
5	1	28
5	4	29
5	16	30
5	15	31
5	16	32
5	15	33
5	4	34
5	16	36
5	1	37
5	15	38
5	11	39
5	15	40
5	15	41
5	15	42
5	1	43
5	8	44
5	0	45
5	4	46
5	18	47
5	20	48
5	1	49
5	4	50
5	10	51
5	7	53
5	18	54
5	11	55
5	17	56
5	10	57
5	17	59
5	16	60
5	11	61
5	16	62
5	4	63
5	18	64
5	15	65
5	11	66
5	11	67
5	18	68
5	2	69
5	15	70
5	2	71
5	4	73
5	11	74
5	15	75
5	18	76
5	4	77
5	2	78
5	18	79
5	17	80
5	2	81
5	4	82
5	4	83
5	11	84
5	17	85
5	17	86
5	2	87
5	16	88
5	7	89
5	4	90
5	15	91
5	15	92
5	16	93
5	15	94
5	15	95
5	0	96
5	7	97
5	17	98
5	7	100
5	16	103
6	18	1
6	8	2
6	16	4
6	18	5
6	23	6
6	18	7
6	8	8
6	18	9
6	18	10
6	11	11
6	8	12
6	8	13
6	20	14
6	8	15
6	16	16
6	16	17
6	20	18
6	18	19
6	16	20
6	18	21
6	11	22
6	8	23
6	4	24
6	11	25
6	1	27
6	15	28
6	16	29
6	20	30
6	1	31
6	20	32
6	1	33
6	16	34
6	20	35
6	20	36
6	15	37
6	1	38
6	1	41
6	1	42
6	15	43
6	4	44
6	15	45
6	16	46
6	8	48
6	15	49
6	16	50
6	18	51
6	18	52
6	17	53
6	11	54
6	18	55
6	18	57
6	18	58
6	16	59
6	17	60
6	18	61
6	17	62
6	11	64
6	11	65
6	18	67
6	11	68
6	15	69
6	1	70
6	15	71
6	15	72
6	16	73
6	15	74
6	1	75
6	11	76
6	16	77
6	11	79
6	7	80
6	15	81
6	7	83
6	15	84
6	16	85
6	16	86
6	15	87
6	4	88
6	4	89
6	7	90
6	1	91
6	1	92
6	4	93
6	1	94
6	1	95
6	18	96
6	4	97
6	16	98
6	1	99
6	4	100
6	7	101
6	15	102
6	17	103
7	9	0
7	9	1
7	12	2
7	16	3
7	20	4
7	9	5
7	20	6
7	23	7
7	20	8
7	9	9
7	11	10
7	18	11
7	20	12
7	16	13
7	16	14
7	20	15
7	20	16
7	20	17
7	9	19
7	11	21
7	15	22
7	16	23
7	16	24
7	16	26
7	15	27
7	4	29
7	16	30
