head	rel	tail
12090318	_member_meronym	12093769
4085873	_derivationally_related_form	1271658
9809749	_hypernym	10317007
3376595	_has_part	4119892
6162979	_hypernym	5726596
4560113	_hypernym	4388743
13477023	_derivationally_related_form	545557
268112	_hypernym	267522
7825972	_hypernym	7810907
3955296	_derivationally_related_form	1249490
7117472	_hypernym	7115914
8900535	_has_part	9303647
7921615	_hypernym	7921455
3110322	_derivationally_related_form	2325
449692	_derivationally_related_form	395797
9726970	_hypernym	9726621
2423589	_hypernym	2423022
588221	_derivationally_related_form	532892
6142412	_hypernym	6142118
11412993	_synset_domain_topic_of	6148148
6672752	_hypernym	6672297
5943300	_derivationally_related_form	2858231
763399	_derivationally_related_form	7177924
9632518	_hypernym	7846
9826821	_hypernym	10024119
10407552	_hypernym	10770059
1822423	_member_meronym	1825009
10180178	_hypernym	10389398
2531422	_also_see	1076793
9050244	_member_meronym	9071690
9800964	_hypernym	10372373
2547586	_derivationally_related_form	1207609
10703336	_hypernym	7846
744916	_derivationally_related_form	4709253
10404550	_hypernym	7846
66191	_derivationally_related_form	7014752
6156346	_hypernym	6153846
371955	_hypernym	212414
9403581	_instance_hypernym	9360122
8792548	_has_part	8794798
2221240	_member_meronym	2221414
399368	_synset_domain_topic_of	6090869
3553	_derivationally_related_form	1462005
3955296	_hypernym	3997484
13233012	_member_meronym	13239471
467717	_derivationally_related_form	13617952
11077195	_instance_hypernym	9767700
6277280	_has_part	6278136
1822602	_hypernym	1503061
11413263	_synset_domain_topic_of	6090869
2368280	_member_meronym	2368399
10375506	_hypernym	10376523
2466496	_derivationally_related_form	1068012
657728	_derivationally_related_form	10140783
1719302	_derivationally_related_form	6893885
1101103	_hypernym	1101913
5220126	_hypernym	5219923
8747054	_has_part	8847268
5011277	_hypernym	5009170
8221897	_hypernym	7975026
2627686	_hypernym	1432517
919424	_derivationally_related_form	3429288
9690371	_derivationally_related_form	2625648
101629	_hypernym	10241
1716732	_member_meronym	1717016
12689808	_hypernym	11744859
11311011	_instance_hypernym	10214637
8493493	_instance_hypernym	8574314
2989893	_hypernym	2996840
2688895	_instance_hypernym	8337324
6172294	_hypernym	6153846
889490	_derivationally_related_form	1385017
13030157	_hypernym	11590783
10614363	_hypernym	7846
1829869	_hypernym	1825930
9307300	_hypernym	9385911
1362736	_derivationally_related_form	609236
2048891	_derivationally_related_form	13878112
5303402	_hypernym	5225602
2788148	_hypernym	2796623
3879854	_hypernym	4074482
7027180	_derivationally_related_form	1163083
6624161	_has_part	6764623
5186306	_hypernym	5187446
12838027	_member_meronym	12846546
8853741	_has_part	8711655
101956	_hypernym	6238
8844557	_has_part	8842819
473322	_also_see	429060
10493685	_derivationally_related_form	4025130
10540656	_hypernym	7846
5784560	_derivationally_related_form	2863464
1830623	_hypernym	1504437
13164763	_derivationally_related_form	357332
10240514	_hypernym	9606527
2799897	_hypernym	4285146
1080691	_hypernym	1405044
3648804	_synset_domain_topic_of	15253139
3790512	_hypernym	3791235
415044	_derivationally_related_form	10583387
2250464	_member_meronym	2251452
1727490	_derivationally_related_form	7342049
789138	_hypernym	644583
8801678	_has_part	8807894
2354536	_hypernym	2339413
133981	_derivationally_related_form	1412346
3888257	_derivationally_related_form	1968275
1623792	_hypernym	1621555
4709253	_derivationally_related_form	744916
836149	_hypernym	831191
1729431	_derivationally_related_form	7048000
6686174	_derivationally_related_form	891936
2110552	_derivationally_related_form	14526182
5790572	_hypernym	5788149
1134522	_derivationally_related_form	9811852
2777734	_has_part	2788148
3351434	_member_meronym	3410022
