head	rel	tail
12213635	_member_meronym	12214245
4216634	_derivationally_related_form	1460029
12418065	_hypernym	11561228
2519183	_hypernym	2518161
3619396	_derivationally_related_form	2339413
613973	_synset_domain_topic_of	6182144
15165289	_hypernym	15113229
6333653	_hypernym	6284225
833199	_hypernym	831651
2026785	_derivationally_related_form	5115804
1041762	_derivationally_related_form	5978623
2038617	_hypernym	1504437
1610463	_derivationally_related_form	708017
13044149	_hypernym	11592146
10129825	_derivationally_related_form	15147330
11766609	_member_meronym	11769483
9887034	_derivationally_related_form	637259
6663940	_hypernym	6652242
2612982	_member_meronym	2613181
11033358	_instance_hypernym	10020890
9917214	_hypernym	10317007
1904293	_derivationally_related_form	442115
189257	_hypernym	13610162
14379829	_derivationally_related_form	1925372
645939	_derivationally_related_form	877345
14796969	_hypernym	14836127
661213	_derivationally_related_form	5748786
410406	_derivationally_related_form	2927512
8705397	_instance_hypernym	8698379
8131530	_has_part	8396537
12930044	_member_meronym	12936999
10568200	_synset_domain_topic_of	475787
2636921	_derivationally_related_form	7237758
2399331	_hypernym	2391803
50693	_derivationally_related_form	2625016
2180797	_also_see	2461723
13601596	_hypernym	13583724
2495922	_also_see	1195536
2207206	_also_see	2323286
689950	_derivationally_related_form	6207199
151689	_derivationally_related_form	351638
1765392	_derivationally_related_form	13971561
8780881	_instance_hypernym	8698126
781000	_hypernym	962447
12787565	_hypernym	11566682
2501275	_hypernym	1862557
14332085	_derivationally_related_form	2123424
2386012	_derivationally_related_form	10381214
5703956	_derivationally_related_form	724492
11699071	_hypernym	12205694
10575787	_derivationally_related_form	2153709
1738774	_hypernym	1753788
12751043	_hypernym	11567411
1695259	_member_meronym	1723678
13150178	_hypernym	13149296
4315948	_hypernym	4077430
2717901	_hypernym	3740161
5881867	_has_part	13590327
9551356	_hypernym	9505418
286928	_hypernym	283911
8860123	_member_of_domain_region	4539053
177127	_hypernym	1023820
2038357	_derivationally_related_form	13887509
14235200	_hypernym	14234074
5511618	_has_part	5388805
6403393	_synset_domain_topic_of	614730
854904	_derivationally_related_form	10100761
6157326	_derivationally_related_form	10415638
773432	_derivationally_related_form	7140978
1118614	_hypernym	1117723
9272927	_instance_hypernym	9360122
437125	_derivationally_related_form	195569
1158690	_derivationally_related_form	682436
655378	_derivationally_related_form	13503673
5822746	_hypernym	5816287
1285305	_instance_hypernym	956485
8243851	_hypernym	8049401
13720852	_hypernym	13716084
8268321	_derivationally_related_form	521874
8859173	_member_of_domain_region	9510305
1697027	_derivationally_related_form	3777283
255710	_derivationally_related_form	1535246
413239	_derivationally_related_form	2561332
4625515	_synset_domain_topic_of	6060845
1916214	_derivationally_related_form	2000954
7994941	_hypernym	7993929
348008	_hypernym	337210
1471070	_member_meronym	1625747
7476623	_derivationally_related_form	1412912
657550	_derivationally_related_form	5737153
151689	_derivationally_related_form	13458571
1835496	_derivationally_related_form	279835
2451951	_also_see	2326695
2395406	_derivationally_related_form	1043231
11773138	_hypernym	11567411
2663086	_hypernym	1432517
382109	_derivationally_related_form	394813
2246456	_synset_domain_topic_of	488225
6875697	_derivationally_related_form	1039330
8356903	_hypernym	8401248
100551	_derivationally_related_form	624738
2574516	_derivationally_related_form	9955015
2582042	_hypernym	868591
13265011	_derivationally_related_form	2474239
9085441	_instance_hypernym	8638442
2575766	_member_meronym	2577532
1185611	_synset_domain_topic_of	8441203
2075049	_hypernym	2009433
828082	_derivationally_related_form	48633
14405225	_hypernym	14373582
11800236	_hypernym	13125117
1884577	_hypernym	1831531
11766609	_member_meronym	11767196
9625401	_hypernym	7846
2134589	_hypernym	1862557
8910394	_instance_hypernym	8574314
