head	rel	tail
8135342	_hypernym	8123167
12108742	_hypernym	11744859
7439284	_derivationally_related_form	1901783
226566	_derivationally_related_form	374224
244625	_derivationally_related_form	3087366
4764412	_hypernym	4723816
10777299	_derivationally_related_form	915830
8236621	_hypernym	8236438
8913434	_has_part	8919241
2677097	_derivationally_related_form	13793504
9257949	_derivationally_related_form	1207951
14554853	_hypernym	14552802
11700401	_member_meronym	11700676
1026975	_derivationally_related_form	798245
1029114	_derivationally_related_form	860620
7543288	_derivationally_related_form	1775164
8160276	_derivationally_related_form	2650840
8965598	_instance_hypernym	8698379
818466	_derivationally_related_form	9614684
10495555	_derivationally_related_form	2245555
2507736	_derivationally_related_form	14406573
1974062	_derivationally_related_form	9206985
3259505	_has_part	2821627
9808080	_hypernym	10016103
2597173	_hypernym	1432517
5904135	_synset_domain_topic_of	8441203
787832	_hypernym	786195
12609638	_hypernym	11555413
4404412	_synset_domain_topic_of	6277280
1202728	_derivationally_related_form	7570720
6295235	_member_of_domain_usage	3763727
2297409	_hypernym	2298160
1693881	_derivationally_related_form	1019524
770997	_hypernym	770543
445467	_derivationally_related_form	13491060
1504480	_hypernym	1090335
819508	_derivationally_related_form	10206173
6876144	_derivationally_related_form	1039330
12399132	_hypernym	12651821
275253	_derivationally_related_form	13475538
1629958	_derivationally_related_form	5978623
1383646	_derivationally_related_form	14597758
14459422	_derivationally_related_form	10415230
6295235	_member_of_domain_usage	4434932
10017422	_hypernym	10053808
10562283	_hypernym	10276045
6663617	_has_part	6655388
1461328	_hypernym	1462005
2377480	_hypernym	2374451
5481095	_has_part	5465868
2746365	_derivationally_related_form	1136614
4688246	_hypernym	4723816
1448767	_member_meronym	1449586
8616050	_derivationally_related_form	1576165
2769748	_hypernym	2773037
13933841	_derivationally_related_form	2027612
3501614	_has_part	3313873
480993	_hypernym	479076
12876032	_member_meronym	12879719
6892016	_derivationally_related_form	1719921
10018021	_derivationally_related_form	804802
3640660	_hypernym	3899328
2503313	_hypernym	1862557
1633343	_derivationally_related_form	940842
10211203	_hypernym	10020890
43195	_derivationally_related_form	2285629
9818343	_derivationally_related_form	2133297
1965464	_hypernym	1963942
436668	_derivationally_related_form	14575180
908351	_derivationally_related_form	1129532
1042531	_hypernym	941990
