head	rel	tail
1768969	_derivationally_related_form	2636811
10341660	_derivationally_related_form	2661252
7190941	_hypernym	7185325
3522863	_hypernym	3091374
5034989	_synset_domain_topic_of	6037666
12319687	_member_meronym	12321077
12191587	_hypernym	13109733
2349212	_derivationally_related_form	13929852
12850718	_hypernym	11579418
3003928	_derivationally_related_form	8703454
1684899	_derivationally_related_form	936620
820976	_hypernym	1015244
2461014	_member_meronym	2461128
455348	_derivationally_related_form	230276
430140	_hypernym	747029
5768806	_derivationally_related_form	1637633
9381242	_hypernym	9416076
622384	_derivationally_related_form	7510495
303495	_hypernym	302394
338821	_hypernym	939628
1610758	_member_meronym	1610955
5718935	_hypernym	5718254
340192	_derivationally_related_form	2049696
9773962	_derivationally_related_form	976653
2480923	_derivationally_related_form	4811126
6449735	_hypernym	6544142
1396170	_hypernym	1388130
4755218	_hypernym	4754862
935940	_derivationally_related_form	10029269
678282	_derivationally_related_form	1144355
10434725	_derivationally_related_form	1641914
1835496	_also_see	781000
5284132	_hypernym	5546040
461402	_synset_domain_topic_of	8199025
8949093	_has_part	8951957
5698791	_derivationally_related_form	687926
935827	_hypernym	933821
5762258	_derivationally_related_form	634090
4981139	_hypernym	4983122
4567222	_has_part	8590172
7555647	_hypernym	7555014
1999218	_hypernym	1835496
3076411	_synset_domain_topic_of	8199025
9546280	_synset_domain_topic_of	15259284
2023107	_derivationally_related_form	8307589
2372251	_member_meronym	2372397
2944327	_synset_domain_topic_of	6054892
747029	_hypernym	745005
8199025	_hypernym	8208016
14561618	_derivationally_related_form	92293
580865	_hypernym	126264
1211339	_derivationally_related_form	2554922
6844903	_hypernym	6841365
1491991	_member_meronym	1492212
1884974	_derivationally_related_form	331655
8860123	_member_of_domain_region	8230294
12288823	_has_part	7772788
3147509	_derivationally_related_form	189062
1730799	_derivationally_related_form	3024064
2578235	_also_see	1781478
2407987	_verb_group	2410855
9440400	_member_meronym	9731571
55793	_synset_domain_topic_of	8199025
12681141	_hypernym	13112664
10928140	_instance_hypernym	10030277
7073447	_member_of_domain_usage	2527085
2582042	_derivationally_related_form	1181902
12712820	_hypernym	11585340
531490	_hypernym	531201
8732116	_has_part	8733415
410406	_derivationally_related_form	9738708
4668139	_derivationally_related_form	1476154
11774279	_member_meronym	11774513
5320899	_hypernym	5299178
7186148	_derivationally_related_form	793580
2561995	_derivationally_related_form	9767197
2644622	_derivationally_related_form	231567
11911591	_member_meronym	11945228
1273016	_hypernym	1531742
996448	_also_see	75515
8639058	_has_part	8639776
11860801	_member_meronym	11861021
2056971	_verb_group	1930482
1914947	_derivationally_related_form	7460104
203866	_derivationally_related_form	14422488
2515713	_hypernym	2515214
8957381	_member_of_domain_region	7808904
8858942	_has_part	8890097
8276342	_hypernym	8053576
8210982	_hypernym	8208016
2082056	_hypernym	1886756
2234551	_hypernym	2234087
5418717	_hypernym	5417975
2451951	_also_see	1613463
72012	_derivationally_related_form	13515958
1536916	_member_meronym	1538498
2630052	_member_meronym	2630739
1127215	_hypernym	1476483
11911591	_member_meronym	11992674
2294761	_member_meronym	2310334
1494188	_hypernym	1429349
12799580	_hypernym	11585340
2513560	_hypernym	1321579
2460199	_derivationally_related_form	10520804
4857083	_derivationally_related_form	262792
4627936	_synset_domain_topic_of	6951067
1365131	_verb_group	1232387
7919310	_hypernym	7881800
12501745	_member_meronym	12526380
1246601	_hypernym	126264
9023321	_has_part	9025728
6875697	_hypernym	6282651
1486312	_derivationally_related_form	2975212
2420789	_derivationally_related_form	3599628
12890009	_member_meronym	12891093
14334511	_hypernym	14334122
7348399	_derivationally_related_form	1990281
1201271	_hypernym	1201021
8121117	_member_meronym	10091651
5022457	_derivationally_related_form	1022064
2180797	_also_see	1116380
12501745	_member_meronym	12568865
609506	_hypernym	606370
6449735	_has_part	6437531
1794668	_verb_group	668099
10608385	_synset_domain_topic_of	8199025
8740875	_member_meronym	9722658
4051068	_hypernym	2673637
1097500	_derivationally_related_form	1263711
689950	_derivationally_related_form	14438125
12614477	_hypernym	13121544
2321759	_hypernym	2316038
14836960	_derivationally_related_form	229026
9053185	_has_part	9053947
164579	_synset_domain_topic_of	6128570
12651465	_hypernym	11585340
11841529	_member_meronym	11849017
1904930	_hypernym	1835496
